Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,type,platform
Go For Goals,Bengali,None,101,2017,13+,Movie,Amazon Prime
Autograph,Bengali,7.4,132,2017,13+,Movie,Amazon Prime
The Cabin Guard,Bengali,4.9,85,2019,13+,Movie,Amazon Prime
Ondu Hennina Kathe,Kannada,None,147,1972,NR,Movie,Amazon Prime
The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,75,2020,13+,Movie,Amazon Prime
Ulagam Pirandhadhu Enakkaga,Tamil,None,148,1990,All,Movie,Amazon Prime
HAK_MTL,English,6.1,67,2020,13+,Movie,Amazon Prime
The Lego Movie,English,7.7,100,2014,All,Movie,Amazon Prime
Zoo Laka Taka,Telugu,6,96,1989,NR,Movie,Amazon Prime
Life is Beautiful,Hindi,None,116,2014,NR,Movie,Amazon Prime
Chanda,Kannada,None,154,2007,NR,Movie,Amazon Prime
Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,None,123,2013,NR,Movie,Amazon Prime
London Has Fallen,Hindi,5.9,94,2016,18+,Movie,Amazon Prime
Summer in Bethlehem,Malayalam,7.8,154,1998,All,Movie,Amazon Prime
Tarpan,Hindi,None,124,1995,NR,Movie,Amazon Prime
Michael,Bengali,5.7,133,2018,13+,Movie,Amazon Prime
King - Malayalam,Malayalam,None,157,2002,NR,Movie,Amazon Prime
Quick,English,5.8,107,2011,16+,Movie,Amazon Prime
Hey Ram,Hindi,7.9,199,2000,NR,Movie,Amazon Prime
Karpagam,Tamil,7.4,169,1963,All,Movie,Amazon Prime
Vellinakshatram,Malayalam,4.8,156,2004,All,Movie,Amazon Prime
Jeevan Ek Sanghursh,Hindi,4.9,159,1990,All,Movie,Amazon Prime
Bal Ganesh and PomZom Planet (Tamil),Tamil,None,80,2017,All,Movie,Amazon Prime
Vaagai Sooda Vaa,Tamil,8,125,2011,All,Movie,Amazon Prime
Anne Frank: A Sister's Story,English,None,23,2020,13+,Movie,Amazon Prime
Bal Ganesh (Gujarati),Gujarati, 6.9,102,2007,All,Movie,Amazon Prime
Honeymoon Travels Pvt Ltd,Hindi,6.1,119,2007,13+,Movie,Amazon Prime
Dishoom,Hindi,5.1,121,2016,NR,Movie,Amazon Prime
Mayuri,Malayalam,None,78,2000,NR,Movie,Amazon Prime
On Going Home,English,None,19,2020,13+,Movie,Amazon Prime
Telangana's Pride - Nagoba Jathara,English,None,58,2020,13+,Movie,Amazon Prime
Sharkwater Extinction,English,7.7,84,2019,16+,Movie,Amazon Prime
Generation Wealth,English,6.7,106,2018,18+,Movie,Amazon Prime
Aakrosh,Hindi,7,145,2010,18+,Movie,Amazon Prime
Zombieland: Double Tap,Telugu,6.7,99,2019,18+,Movie,Amazon Prime
Loki,Kannada,None,136,2013,NR,Movie,Amazon Prime
Invisible Wildlife Photographer,English,None,51,2019,13+,Movie,Amazon Prime
Nivuru,Telugu,None,132,2018,18+,Movie,Amazon Prime
Sesh Parba,Bengali,None,126,1972,NR,Movie,Amazon Prime
Appetite for Destruction: The Palm Oil Diaries,English,5.3,60,2020,13+,Movie,Amazon Prime
King Solomon,Malayalam,6.8,147,1996,NR,Movie,Amazon Prime
Punnami Naagu,Telugu,7.2,130,1980,18+,Movie,Amazon Prime
Aurangzeb,Hindi,6.5,137,2013,16+,Movie,Amazon Prime
Nirbachana,English,6,102,1994,NR,Movie,Amazon Prime
Jaganmohini,Telugu,6.6,146,1978,All,Movie,Amazon Prime
American Hustle,English,7.2,138,2013,18+,Movie,Amazon Prime
The Pom Pom Girls,English,5,89,1976,18+,Movie,Amazon Prime
Vaai Kozhuppu,Tamil,3.6,137,1989,NR,Movie,Amazon Prime
Ae Dil Hai Mushkil,Hindi,5.8,155,2016,13+,Movie,Amazon Prime
Khuli Khidki - Pratibha Sharma,Hindi,None,9,2013,All,Movie,Amazon Prime
Love 86,Hindi,5.7,140,1986,All,Movie,Amazon Prime
Barood,Bengali,6,142,2017,13+,Movie,Amazon Prime
Jagriti,Hindi,6.9,138,None,All,Movie,Amazon Prime
Bedeneer Prem,Bengali,None,146,2017,13+,Movie,Amazon Prime
Lego Marvel: Avengers Reassembled,English,6.2,22,2015,7+,Movie,Amazon Prime
Janta Hawaldar,Hindi,6.4,126,1979,NR,Movie,Amazon Prime
Thira,Malayalam,7.3,109,2013,All,Movie,Amazon Prime
Letters From Generation RX,English,None,50,2019,13+,Movie,Amazon Prime
Top Cat,Marathi,4.6,86,2012,13+,Movie,Amazon Prime
My Husband's Wife,Hindi,None,126,2011,NR,Movie,Amazon Prime
The Program,English,6.5,103,2015,18+,Movie,Amazon Prime
Golmaal Again,Hindi,5,144,2017,13+,Movie,Amazon Prime
Anukokunda Oka Roju,Telugu,8,145,2005,All,Movie,Amazon Prime
Tharam,Malayalam,None,123,2005,NR,Movie,Amazon Prime
Tulkalam,Bengali,5.4,132,2017,13+,Movie,Amazon Prime
Captain Monsterica & The Purple Protector,English,None,76,2019,All,Movie,Amazon Prime
We Go Way Back,English,6.1,79,2006,NR,Movie,Amazon Prime
Hendthighelbedi,Kannada,None,143,1989,NR,Movie,Amazon Prime
Dev Bhoomi - Land of the Gods,Hindi,7.5,92,2016,13+,Movie,Amazon Prime
Marjala,Kannada,3.5,132,1986,NR,Movie,Amazon Prime
Samadhan,Bengali,7.3,128,1979,NR,Movie,Amazon Prime
"Siam, The Elephant",English,None,53,2020,13+,Movie,Amazon Prime
Neti Dowrjanyam,Telugu,None,115,1990,NR,Movie,Amazon Prime
Anweshan,Bengali,None,118,1984,NR,Movie,Amazon Prime
Bhikari,Marathi,6,123,2017,13+,Movie,Amazon Prime
Grace Of Monaco,English,5.7,102,2014,All,Movie,Amazon Prime
Elan,Hindi,6.2,124,None,NR,Movie,Amazon Prime
Ichak,Marathi,5.8,104,2017,All,Movie,Amazon Prime
The Ballad of Lefty Brown,English,6.3,111,2017,18+,Movie,Amazon Prime
Full 3 Dhamaal,Marathi,5.7,110,2008,All,Movie,Amazon Prime
Yoddha (2014),Bengali,None,150,2017,13+,Movie,Amazon Prime
Abhinandana,Telugu,7.5,130,1988,NR,Movie,Amazon Prime
Transformers: Revenge of the Fallen,English,6,149,2009,13+,Movie,Amazon Prime
Before I Wake,Hindi,6.2,93,2018,16+,Movie,Amazon Prime
BOSS 2,Bengali,5,145,2017,13+,Movie,Amazon Prime
Keeping and Saving,English,None,53,2020,13+,Movie,Amazon Prime
Ali Baba 40 Dongalu,Telugu,7.3,179,None,NR,Movie,Amazon Prime
Doorbeen,Punjabi,5.9,125,2019,13+,Movie,Amazon Prime
Chhota Bheem - Romani Adventure,Hindi,None,61,2020,All,Movie,Amazon Prime
Gharshana,Telugu,None,158,2004,18+,Movie,Amazon Prime
Daggaraga Duranga,Telugu,5.1,140,2011,13+,Movie,Amazon Prime
Khota Sikka Jaat Ke Thaat,Hindi,None,116,2014,NR,Movie,Amazon Prime
Ashdod Citadel,English,8.1,26,2020,13+,Movie,Amazon Prime
Makkala Sakshi,Kannada,None,72,1994,NR,Movie,Amazon Prime
WRECKER (Driver from Hell),Hindi,3.4,73,2017,16+,Movie,Amazon Prime
Rajar Meye Parul,Bengali,None,135,1993,NR,Movie,Amazon Prime
Pyari Behna,Hindi,6.7,136,1985,NR,Movie,Amazon Prime
Ek Phool Do Mali,Hindi,6.6,166,None,All,Movie,Amazon Prime
THE MAGIC OF HARRY POTTER,English,7.2,40,2000,All,Movie,Amazon Prime
Bad Boys II,Tamil,6.6,146,2003,13+,Movie,Amazon Prime
Wonder Woman (2017),English,7.4,141,2017,13+,Movie,Amazon Prime
Bandhuvulostunnaru Jagratha,Telugu,6.8,120,1989,All,Movie,Amazon Prime
Troop Zero,English,6.9,97,2020,7+,Movie,Amazon Prime
Cowgirls 'n Angels 2: Dakota's Summer,English,5.6,90,2014,13+,Movie,Amazon Prime
Around The World In 80 Days,English,5.9,119,2004,7+,Movie,Amazon Prime
Horns,English,6.5,115,2014,18+,Movie,Amazon Prime
Book of Shadows: The Blair Witch 2,English,4,90,2000,18+,Movie,Amazon Prime
Pokkiri Raja,Tamil,6.2,138,1982,All,Movie,Amazon Prime
Miyyav,Kannada,5.5,100,2002,NR,Movie,Amazon Prime
Bal Ganesh And The Pomzom Planet  (Malayalam),Malayalam,None,79,2017,All,Movie,Amazon Prime
Lacchimdeviki O Lekkundi,Telugu,5.2,107,2016,13+,Movie,Amazon Prime
Misti Madhur,Bengali,None,126,1993,NR,Movie,Amazon Prime
Dayana,Malayalam,None,77,2000,NR,Movie,Amazon Prime
Salaam Namaste,Hindi,6.2,158,2005,13+,Movie,Amazon Prime
"YASHKA, BATTALION OF DEATH",English,None,53,2019,13+,Movie,Amazon Prime
Mongolia - In The Shadow of Genghis Khan,English,None,55,2019,13+,Movie,Amazon Prime
Prematho Mee Karthik,Telugu,6.6,115,2017,All,Movie,Amazon Prime
Sakkha Savatra,Marathi,None,132,2007,All,Movie,Amazon Prime
Overtake,Malayalam,6.8,119,2017,All,Movie,Amazon Prime
Short Term 12,English,8,96,2013,18+,Movie,Amazon Prime
People Like Us,English,7.1,114,2012,16+,Movie,Amazon Prime
Bakso Bondi,Bengali,None,21,2018,13+,Movie,Amazon Prime
UNTRACEABLE,English,6.2,96,2008,13+,Movie,Amazon Prime
Chaos Theory,Malayalam,6.6,17,2018,All,Movie,Amazon Prime
Maharasan,Tamil,6.2,144,1993,NR,Movie,Amazon Prime
Maai Baap,Marathi,None,110,2007,All,Movie,Amazon Prime
Encounter - The Killing,Hindi,6.3,146,2002,13+,Movie,Amazon Prime
