Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
Revolutionary Road,English,118,2008,18+,Movie,Amazon Prime,tt0959337,"Drama,Romance",7.3
Cave of Forgotten Dreams,English,90,2010,7+,Movie,Amazon Prime,tt1664894,"Documentary,History",7.4
Bogus,English,111,1996,16+,Movie,Amazon Prime,tt0115725,"Comedy,Family,Fantasy",5.4
The Billion Dollar Bust,English,41,2018,13+,Movie,Amazon Prime,tt8774994,"Documentary,Short",6.6
Mijaaj,Gujarati,119,2018,NR,Movie,Amazon Prime,tt7967846,"Action,Drama",6.2
Aabhaasam,Malayalam,114,2018,13+,Movie,Amazon Prime,tt6860812,Comedy,5.9
L7,Telugu,123,2016,18+,Movie,Amazon Prime,tt6173444,Thriller,4.7
Rendu Rellu Aaru,Telugu,124,2017,All,Movie,Amazon Prime,tt7782364,Comedy,6.8
Guest iin London,Hindi,127,2017,13+,Movie,Amazon Prime,tt6173826,Comedy,5.5
A Simple Favor,English,116,2018,18+,Movie,Amazon Prime,tt7040874,"Comedy,Crime,Mystery",6.8
Vadakkunokkiyantram,Malayalam,121,1989,All,Movie,Amazon Prime,tt0354148,"Comedy,Drama",8.3
Bloodsport,English,92,1988,18+,Movie,Amazon Prime,tt0092675,"Action,Biography,Drama",6.8
Sholay,Hindi,195,1975,All,Movie,Amazon Prime,tt0073707,"Action,Adventure,Comedy",8.2
Edge of Darkness,English,116,2010,18+,Movie,Amazon Prime,tt1226273,"Action,Crime,Drama",6.6
Badal,Hindi,166,2000,18+,Movie,Amazon Prime,tt0247944,"Action,Crime,Drama",4.9
Pujarini,Bengali,135,1984,NR,Movie,Amazon Prime,tt1523530,Drama,7.1
Rayalaseema Ramanna Chowdary,Telugu,171,2000,NR,Movie,Amazon Prime,tt1212136,"Action,Drama",6.3
Savaari,Telugu,140,2020,13+,Movie,Amazon Prime,tt11024568,Romance,5.6
Gone Girl,English,149,2014,18+,Movie,Amazon Prime,tt2267998,"Drama,Mystery,Thriller",8.1
Switch,English,103,1991,18+,Movie,Amazon Prime,tt0103016,"Comedy,Fantasy",5.8
Balls Out: Gary the Tennis Coach,English,92,2009,18+,Movie,Amazon Prime,tt0787470,"Comedy,Sport",5.5
Kirayadar,Hindi,112,1986,All,Movie,Amazon Prime,tt0157899,"Comedy,Drama",6.3
Prague,Hindi,106,2013,13+,Movie,Amazon Prime,tt2401719,"Horror,Mystery,Romance",5.7
Cuban Colony,Malayalam,127,2018,13+,Movie,Amazon Prime,tt8665806,"Action,Comedy,Thriller",5.5
Khaidi,Telugu,147,1983,NR,Movie,Amazon Prime,tt0245997,"Action,Drama",7.4
Gentleman,Hindi,119,1989,All,Movie,Amazon Prime,tt0363632,"Comedy,Crime,Musical",5.0
Kaagaz Ke Fools,Hindi,109,2015,13+,Movie,Amazon Prime,tt2962230,Comedy,3.9
Yamudiki Mogudu,Telugu,153,2012,13+,Movie,Amazon Prime,tt2433542,"Comedy,Fantasy",4.6
Golkeri,Gujarati,127,2020,13+,Movie,Amazon Prime,tt11737756,"Comedy,Drama",6.9
Andaaz,Hindi,146,2003,13+,Movie,Amazon Prime,tt0346507,"Drama,Musical,Romance",5.3
Surakksha,Hindi,132,1979,NR,Movie,Amazon Prime,tt0246261,"Action,Adventure,Crime",6.2
How to Murder a Millionaire,English,90,1990,16+,Movie,Amazon Prime,tt0099804,Comedy,5.2
Love,Bengali,116,2017,13+,Movie,Amazon Prime,tt6375288,"Drama,Romance,Short",8.0
Ninaivu Chinnam,Tamil,148,1989,NR,Movie,Amazon Prime,tt0320165,\N,6.2
Kala Viplavam Pranayam,Malayalam,121,2018,All,Movie,Amazon Prime,tt7253188,"Action,Drama,Thriller",4.5
Freedom,Malayalam,133,2004,NR,Movie,Amazon Prime,tt0430109,"Action,Drama",2.4
Khancha,Bengali,145,2013,NR,Movie,Amazon Prime,tt6690218,News,6.0
Audition,Bengali,16,2018,13+,Movie,Amazon Prime,tt6217438,"Comedy,Drama,Short",9.4
Unpaused,Hindi,113,2020,16+,Movie,Amazon Prime,tt13491620,"Drama,Romance",7.0
Boeing Boeing,Malayalam,150,1985,NR,Movie,Amazon Prime,tt0255013,Comedy,7.3
Saudagar,Hindi,130,1973,All,Movie,Amazon Prime,tt0070637,"Drama,Family",7.2
Letters to Juliet,English,105,2010,7+,Movie,Amazon Prime,tt0892318,"Adventure,Comedy,Drama",6.5
The Imitation Game,English,114,2014,13+,Movie,Amazon Prime,tt2084970,"Biography,Drama,Thriller",8.0
The Host,English,125,2013,18+,Movie,Amazon Prime,tt1517260,"Action,Adventure,Drama",5.9
Shapath,Hindi,128,1984,NR,Movie,Amazon Prime,tt0246229,Action,4.3
Fading Gigolo,English,90,2013,18+,Movie,Amazon Prime,tt2258345,"Comedy,Romance",6.2
Hirak Jayanti,Bengali,132,1990,NR,Movie,Amazon Prime,tt4272416,"Drama,Romance",6.4
Maqsad,Hindi,166,1984,All,Movie,Amazon Prime,tt0154844,"Action,Crime",5.8
Meera,Hindi,138,1979,NR,Movie,Amazon Prime,tt0081147,"Drama,History",6.6
Raavan,Hindi,136,2010,All,Movie,Amazon Prime,tt1334470,"Action,Adventure,Drama",5.4
Jallikattu,Malayalam,92,2019,13+,Movie,Amazon Prime,tt8721556,"Action,Crime,Thriller",7.5
Aatagadharaa Siva,Telugu,100,2018,All,Movie,Amazon Prime,tt8535546,"Action,Comedy,Drama",7.1
Hotel Artemis,English,90,2018,18+,Movie,Amazon Prime,tt5834262,"Action,Crime,Drama",6.1
Star Trek Beyond,Hindi,122,2016,16+,Movie,Amazon Prime,tt2660888,"Action,Adventure,Sci-Fi",7.0
Ami Je Ke Tomar,Bengali,136,2017,13+,Movie,Amazon Prime,tt6975046,Romance,4.8
Dear Dad,Hindi,84,2016,13+,Movie,Amazon Prime,tt5615116,"Drama,Family",6.3
Anbukku Naan Adimai,Tamil,129,1980,All,Movie,Amazon Prime,tt0274336,"Action,Drama",6.4
Bepanaah,Hindi,156,1985,NR,Movie,Amazon Prime,tt0321421,"Drama,Family",6.2
Kshanbhar Vishranti,Marathi,143,2010,All,Movie,Amazon Prime,tt2022444,Family,6.4
I Am Ali,English,111,2014,7+,Movie,Amazon Prime,tt4008652,"Biography,Documentary,Sport",7.2
Zindagi Na Milegi Dobara,Hindi,154,2011,13+,Movie,Amazon Prime,tt1562872,"Comedy,Drama",8.2
Shahanpan Dega Deva,Marathi,115,2011,13+,Movie,Amazon Prime,tt2625014,Comedy,5.3
Deewaanapan,Hindi,147,2001,NR,Movie,Amazon Prime,tt0301179,"Action,Romance",4.6
Memory Card,Marathi,100,2018,13+,Movie,Amazon Prime,tt8490886,Comedy,5.5
Tum Milo Toh Sahi,Hindi,128,2010,All,Movie,Amazon Prime,tt1442583,"Comedy,Drama",5.6
Devi,Bengali,115,2020,13+,Movie,Amazon Prime,tt11268020,"Drama,Short,Thriller",8.3
Encounter,Bengali,122,2017,13+,Movie,Amazon Prime,tt7381308,"Comedy,Romance,Short",8.0
47 Dhansukh Bhawan,Gujarati,105,2019,13+,Movie,Amazon Prime,tt9823564,Thriller,5.2
Ponmagal Vandhal,Tamil,123,2020,18+,Movie,Amazon Prime,tt10692888,"Crime,Drama,Thriller",6.9
Street Kings,English,108,2008,18+,Movie,Amazon Prime,tt0421073,"Action,Crime,Drama",6.8
Vicky Velingkar,Marathi,125,2019,13+,Movie,Amazon Prime,tt10990740,Thriller,4.6
Masoom,Hindi,137,1983,All,Movie,Amazon Prime,tt0085913,Drama,8.4
Hotel Milan,Hindi,123,2018,18+,Movie,Amazon Prime,tt8706852,"Comedy,Drama",3.7
The Blair Witch Project,English,81,1999,18+,Movie,Amazon Prime,tt0185937,"Horror,Mystery",6.5
Samurai,Tamil,178,2002,13+,Movie,Amazon Prime,tt0284457,Action,3.4
Unnai Ninaithu,Tamil,163,2002,All,Movie,Amazon Prime,tt6358182,Drama,7.2
I Am Legend,English,100,2007,18+,Movie,Amazon Prime,tt0480249,"Action,Adventure,Drama",7.2
Super Kudumbam,Tamil,140,2001,13+,Movie,Amazon Prime,tt6516858,Drama,5.1
Primer,English,77,2004,16+,Movie,Amazon Prime,tt0390384,"Drama,Sci-Fi,Thriller",6.9
Guruji Oru Vakku,Malayalam,121,1985,NR,Movie,Amazon Prime,tt0275389,\N,5.8
Khoya Khoya Chand,Hindi,128,2007,13+,Movie,Amazon Prime,tt0995823,"Drama,Romance",6.3
Sniper,English,99,1993,18+,Movie,Amazon Prime,tt0108171,"Action,Thriller,War",6.1
Cheppu,Malayalam,130,1987,NR,Movie,Amazon Prime,tt0255048,Drama,6.8
Jayadev,Telugu,135,2017,13+,Movie,Amazon Prime,tt10928292,"Action,Romance",6.3
Jadoogadu,Telugu,152,2015,13+,Movie,Amazon Prime,tt4519680,Action,4.8
Nau Mahine Nau Divas,Marathi,130,2009,13+,Movie,Amazon Prime,tt7247768,Comedy,6.5
R... Rajkumar,Hindi,145,2013,NR,Movie,Amazon Prime,tt2369154,"Action,Comedy,Romance",5.2
Empire Records,English,90,1995,16+,Movie,Amazon Prime,tt0112950,"Comedy,Drama,Music",6.7
Aaru,Tamil,157,2005,18+,Movie,Amazon Prime,tt0455309,"Action,Thriller",5.8
Sankashta Kara Ganapathi,Kannada,116,2018,13+,Movie,Amazon Prime,tt8610794,"Comedy,Romance",6.7
Cell,English,98,2016,18+,Movie,Amazon Prime,tt0775440,"Action,Adventure,Horror",4.4
One Day: Justice Delivered,Hindi,120,2019,13+,Movie,Amazon Prime,tt8130558,"Action,Crime,Thriller",5.0
Rajdooth,Telugu,125,2019,All,Movie,Amazon Prime,tt10650664,Drama,6.8
Yea Toh Two Much Ho Gaya,Hindi,118,2016,13+,Movie,Amazon Prime,tt5573110,"Action,Comedy,Drama",3.5
Big Momma's House 2,English,98,2006,13+,Movie,Amazon Prime,tt0421729,"Comedy,Crime",4.8
Omkara,Hindi,152,2006,NR,Movie,Amazon Prime,tt0488414,"Action,Crime,Drama",8.1
Sapthagiri Express,Telugu,120,2016,13+,Movie,Amazon Prime,tt7152766,Comedy,7.5
Gleason,English,111,2016,16+,Movie,Amazon Prime,tt4632316,Documentary,8.3
Freddy Got Fingered,English,87,2001,18+,Movie,Amazon Prime,tt0240515,Comedy,4.6
Thayillamal Nannilai,Tamil,135,1979,All,Movie,Amazon Prime,tt0186794,"Action,Drama",6.2
One for the Money,English,91,2012,16+,Movie,Amazon Prime,tt1598828,"Action,Comedy,Crime",5.3
Miranda House,Marathi,85,2019,13+,Movie,Amazon Prime,tt10178860,Drama,3.5
The Lord of the Rings: The Fellowship of the Ring,English,178,2001,All,Movie,Amazon Prime,tt0120737,"Action,Adventure,Drama",8.8
The Polar Express,English,99,2004,All,Movie,Amazon Prime,tt0338348,"Adventure,Animation,Comedy",6.6
Mirugam,Telugu,86,2007,NR,Movie,Amazon Prime,tt2122413,Drama,6.3
Deewana Mastana,Hindi,133,1997,All,Movie,Amazon Prime,tt0118957,"Comedy,Romance",6.7
CID Eesha,Kannada,127,2013,NR,Movie,Amazon Prime,tt3348372,Comedy,4.5
Ek Khiladi Ek Haseena,Hindi,141,2005,18+,Movie,Amazon Prime,tt0461209,"Comedy,Crime,Thriller",5.7
Natakam,Telugu,136,2018,18+,Movie,Amazon Prime,tt9052864,Action,6.0
Yamadonga,Telugu,178,2007,13+,Movie,Amazon Prime,tt0924317,"Action,Comedy,Fantasy",7.3
Jai Jai Maharashtra Majha,Marathi,127,2012,All,Movie,Amazon Prime,tt7288806,Drama,6.3
Gair,Hindi,142,1999,13+,Movie,Amazon Prime,tt0286640,"Action,Drama",3.7
Lamhe,Hindi,187,1991,All,Movie,Amazon Prime,tt0102258,"Drama,Musical,Romance",7.4
Amazon Obhijaan,Bengali,137,2017,13+,Movie,Amazon Prime,tt5125414,"Action,Adventure",4.7
Janapriyan,Malayalam,120,2011,All,Movie,Amazon Prime,tt1967534,"Drama,Family,Musical",6.3
Lover,Telugu,125,2018,13+,Movie,Amazon Prime,tt5139926,"Horror,Romance,Thriller",5.5
Zameen Aasmaan,Hindi,143,1984,NR,Movie,Amazon Prime,tt0088442,"Drama,Family",5.5
Hum Tum Dushman Dushman,Hindi,114,2015,NR,Movie,Amazon Prime,tt6002986,"Drama,War",6.7
Made in America,English,110,1993,16+,Movie,Amazon Prime,tt0107478,Comedy,5.1
Pai Brothers,Malayalam,137,1995,NR,Movie,Amazon Prime,tt0355866,Comedy,5.0
Shrimoti Bhoyonkori,Bengali,55,2018,13+,Movie,Amazon Prime,tt9081418,Romance,5.1
