IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt8066574,Srinivasa Kalyanam,Movie,122,2018,G,6.1,Drama,Amazon Prime
tt2988272,Shuddh Desi Romance,Movie,126,2013,PG-13,6,Comedy,Amazon Prime
tt6069422,The Bongs Again,Movie,116,2017,PG-13,5.7,Drama,Amazon Prime
tt9048992,Mettukudi,Movie,135,1996,G,6.9,Drama,Amazon Prime
tt6468814,Touch Chesi Chudu,Movie,141,2018,PG-13,4.8,Action,Amazon Prime
tt2343847,Zenda,Movie,121,2009,PG-13,7,Drama,Amazon Prime
tt5935704,Padmaavat,Movie,162,2018,PG-13,7,Drama,Amazon Prime
tt1276104,Looper,Movie,114,2012,R,7.4,Action,Amazon Prime
tt2057441,Mujhse Fraaandship Karoge,Movie,104,2011,PG-13,6.9,Comedy,Amazon Prime
tt4743226,Air Strike,Movie,97,2018,R,3.2,Action,Amazon Prime
tt4786282,Lights Out,Movie,80,2016,R,6.3,Drama,Amazon Prime
tt0412540,The Burning Hell,Movie,59,1974,G,3.5,Documentary,Amazon Prime
tt3170832,Room,Movie,113,2015,PG-13,8.1,Drama,Amazon Prime
tt0356785,Kayamkulam Kanaran,Movie,114,2002,G,3.9,\N,Amazon Prime
tt7860284,Punjab Singh,Movie,150,2018,PG-13,6.2,Drama,Amazon Prime
tt0133093,The Matrix,Movie,136,1999,R,8.7,Action,Amazon Prime
tt3058830,Chingari,Movie,127,2012,PG-13,5.6,Action,Amazon Prime
tt3359290,Bobby Jasoos,Movie,116,2014,G,5.5,Comedy,Amazon Prime
tt0439662,Fanaa,Movie,168,2006,PG-13,7.2,Action,Amazon Prime
tt8308556,Gavthi,Movie,152,2018,G,7.4,Drama,Amazon Prime
tt0318433,Maaveeran,Movie,156,1986,G,6.1,Action,Amazon Prime
tt8616250,Mithai,Movie,137,2019,PG-13,4.4,Crime,Amazon Prime
tt6616244,Aaron,Movie,115,2018,PG-13,7.3,Comedy,Amazon Prime
tt1205537,Jack Ryan: Shadow Recruit,Movie,105,2014,PG-13,6.2,Action,Amazon Prime
tt2244697,Adhinayakudu,Movie,151,2012,R,3.7,Action,Amazon Prime
tt10127628,Jakkanna,Movie,136,2016,PG-13,5.9,Comedy,Amazon Prime
tt1535108,Elysium,Movie,109,2013,R,6.6,Action,Amazon Prime
tt1034032,Gamer,Movie,94,2009,R,5.8,Action,Amazon Prime
tt11536276,3 Monkeys,Movie,128,2020,PG-13,5.1,Drama,Amazon Prime
tt3595298,Prem Ratan Dhan Payo,Movie,164,2015,G,4.4,Action,Amazon Prime
tt0353935,Ramji Rao Speaking,Movie,140,1989,G,8.5,Comedy,Amazon Prime
tt0483298,Nazrana Pyar Ka,Movie,143,1980,G,4.9,Drama,Amazon Prime
tt0082329,Endless Love,Movie,115,1981,R,4.9,Drama,Amazon Prime
tt9389984,Apple Cake,Movie,142,2018,PG-13,7.3,Drama,Amazon Prime
tt10844584,100,Movie,136,2019,PG-13,8.4,Drama,Amazon Prime
tt3996970,Pune Via Bihar,Movie,127,2014,PG-13,4.6,Romance,Amazon Prime
tt7938416,Sagaa,Movie,119,2019,PG-13,5.8,Action,Amazon Prime
tt3213204,Ishq Garaari,Movie,125,2013,PG-13,5.5,Comedy,Amazon Prime
tt0367594,Charlie and the Chocolate Factory,Movie,114,2005,G,6.6,Adventure,Amazon Prime
tt9911306,Kalikkoottukar,Movie,144,2019,G,3.5,Drama,Amazon Prime
tt3950078,The Taking of Tiger Mountain,Movie,137,2014,R,6.4,Action,Amazon Prime
tt4228746,Zid,Movie,128,2014,R,4.4,Crime,Amazon Prime
tt4845248,Madmast Barkhaa,Movie,102,2015,G,3.6,Romance,Amazon Prime
tt7166214,Bobby,Movie,140,2017,G,6.4,Comedy,Amazon Prime
tt0327004,Kuch Tum Kaho Kuch Hum Kahein,Movie,172,2002,G,5.6,Action,Amazon Prime
tt1375666,Inception,Movie,148,2010,PG-13,8.8,Action,Amazon Prime
tt9615028,Jugni Yaaran Di,Movie,115,2019,PG-13,5.4,Comedy,Amazon Prime
tt3196830,Just Let Go,Movie,106,2015,PG-13,6.8,Drama,Amazon Prime
tt11963736,Dracula Sir,Movie,125,2020,PG-13,7.5,Crime,Amazon Prime
tt0248289,Party,Movie,112,1984,G,7.2,Drama,Amazon Prime
tt1502404,Drive Angry,Movie,100,2011,R,5.4,Action,Amazon Prime
tt4209900,Fresh Dressed,Movie,82,2015,R,6.5,Documentary,Amazon Prime
tt1397514,Journey 2: The Mysterious Island,Movie,94,2012,G,5.8,Action,Amazon Prime
