"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"2576","tt0323033","Laws of Attraction","TV Show",2012,"TV-14","90","Comedy",5.9,"Netflix"
"2577","tt0375912","Layer Cake","Movie",2004,"R","105","Action",7.3,"Netflix"
"2578","tt5712152","Layla M.","Movie",2016,"TV-MA","98","Drama",6.7,"Netflix"
"2579","tt7427806","Le K Benzema","Movie",2017,"TV-14","120","Biography",7,"Netflix"
"2580","tt10409334","Le serment des Hitler","Movie",2014,"TV-PG","56","Documentary",6.1,"Netflix"
"2581","tt11131032","League of Legends Origins","Movie",2019,"TV-MA","77","Documentary",6.5,"Netflix"
"2582","tt6244192","Leah Remini: Scientology and the Aftermath","TV Show",2018,"TV-14","47","Documentary",9,"Netflix"
"2583","tt0012382","Leap Year","Movie",2010,"PG","56","Comedy",6.1,"Netflix"
"2584","tt11456582","Learning Songs by Little Baby Bum: Nursery Rhyme Friends","TV Show",2015,"TV-Y","30","Animation",3.7,"Netflix"
"2585","tt9287652","Learning Time with Timmy","TV Show",2018,"TV-Y","N/A","Animation",6.6,"Netflix"
"2586","tt6942450","Lechmi","Movie",2017,"TV-MA","150","Comedy",4.7,"Netflix"
"2587","tt0190524","Left Behind","Movie",2014,"PG-13","100","Action",4.5,"Netflix"
"2588","tt0517664","Legacies","TV Show",2019,"TV-14","42","Action",7.1,"Netflix"
"2589","tt0089469","Legend","Movie",2015,"R","94","Adventure",6.4,"Netflix"
"2590","tt1219342","Legend of the Guardians: The Owls of Ga'Hoole","Movie",2010,"PG","97","Action",6.9,"Netflix"
"2591","tt1874006","Legend Quest","TV Show",2017,"TV-Y7","30","Reality-TV",3.9,"Netflix"
"2592","tt10228032","Legend Quest: Masters of Myth","TV Show",2019,"TV-Y7","N/A","Animation",7.7,"Netflix"
"2593","tt0126387","Legion","Movie",2010,"R","97","Action",4.5,"Netflix"
"2594","tt4189294","Lego DC Comics: Batman Be-Leaguered","Movie",2014,"TV-Y7","22","Action",6.5,"Netflix"
"2595","tt3274454","Lego Friends","TV Show",2017,"TV-G","N/A","\N",8.5,"Netflix"
"2596","tt13117332","LEGO Ninjago: Masters of Spinjitzu","TV Show",2019,"TV-Y7","44","Action",8.3,"Netflix"
"2597","tt0116851","Leila","TV Show",2019,"TV-MA","102","Drama",7.5,"Netflix"
"2598","tt12190580","Lenox Hill","TV Show",2020,"TV-MA","N/A","Documentary",8.7,"Netflix"
"2599","tt1798199","Lens","Movie",2015,"TV-MA","16","Action",4.8,"Netflix"
"2600","tt1827459","Leo the Lion","Movie",2013,"TV-Y7-FV","77","Animation",1.4,"Netflix"
"2601","tt0000969","Les Misérables","Movie",2012,"PG-13","44","Drama",6.4,"Netflix"
"2602","tt10795784","Leslie Jones: Time Machine","Movie",2020,"TV-MA","66","Comedy",5.2,"Netflix"
"2603","tt6379314","Let It Fall: Los Angeles 1982-1992","Movie",2017,"TV-MA","144","Documentary",7.8,"Netflix"
"2604","tt0660668","Let It Snow","Movie",2019,"PG-13","24","Comedy",8.2,"Netflix"
"2605","tt0038687","Let There Be Light","Movie",1946,"TV-PG","58","Documentary",7.5,"Netflix"
"2606","tt0024250","Let's Dance","Movie",2006,"TV-14","11","Comedy",6.2,"Netflix"
"2607","tt10619444","Levius","TV Show",2019,"TV-14","25","Action",7,"Netflix"
"2608","tt3496790","Lez Bomb","Movie",2018,"TV-14","90","Comedy",5.2,"Netflix"
"2609","tt4448304","Liar, Liar, Vampire","Movie",2015,"TV-PG","69","Comedy",5.8,"Netflix"
"2610","tt0921417","Liar's Dice","Movie",2013,"TV-MA","51","Drama",7.4,"Netflix"
"2611","tt6710214","Liberated: The New Sexual Revolution","Movie",2017,"TV-MA","84","Documentary",6,"Netflix"
"2612","tt1808262","Liefling","Movie",2010,"TV-PG","114","Musical",5.6,"Netflix"
"2613","tt0116875","Life","TV Show",2018,"TV-MA","85","Drama",6.8,"Netflix"
"2614","tt13160256","Life 2.0","Movie",2010,"TV-MA","22","Documentary",8.1,"Netflix"
"2615","tt1594295","Life After Beth","Movie",2014,"R","7","Horror",7.4,"Netflix"
"2616","tt5178264","Life in the Doghouse","Movie",2018,"TV-PG","84","Documentary",8.4,"Netflix"
"2617","tt2327389","Life Ki Toh Lag Gayi","Movie",2012,"TV-MA","155","Action",5.3,"Netflix"
"2618","tt6959610","Life on Location","TV Show",2009,"TV-G","9","\N",7.5,"Netflix"
"2619","tt9204606","Life Overtakes Me","Movie",2019,"TV-PG","39","Documentary",6.5,"Netflix"
"2620","tt7034962","Life Plan A and B","TV Show",2016,"TV-PG","90","Drama",7.6,"Netflix"
"2621","tt0218400","Life Sentence","TV Show",2018,"TV-14","N/A","Drama",6.3,"Netflix"
"2622","tt0093815","Life Story","TV Show",2014,"TV-14","97","Documentary",7.4,"Netflix"
"2623","tt7188978","Lifechanger","Movie",2018,"TV-MA","84","Drama",5.4,"Netflix"
"2624","tt0116879","Lifeline","Movie",1997,"TV-14","N/A","Drama",5.1,"Netflix"
"2625","tt2268122","Light in the Dark","Movie",2019,"TV-14","24","Action",8.3,"Netflix"
"2626","tt6495388","Like Arrows","Movie",2018,"TV-PG","100","Drama",6.5,"Netflix"
"2627","tt0288102","Like Father","Movie",2018,"TV-MA","97","Drama",6.8,"Netflix"
"2628","tt3442990","Lila & Eve","Movie",2015,"R","94","Crime",5.8,"Netflix"
