imdb_id,title,type,rated,year,runtime,averageRating,genre,platform
tt2458776,Bears,Movie,G,2014,78,7.4,Documentary,Disney plus
tt4629266,Born in China,Movie,G,2017,79,7.2,Documentary,Disney plus
tt1222815,Chimpanzee,Movie,G,2012,78,7.2,Documentary,Disney plus
tt0902967,The Crimson Wing: Mystery of the Flamingos,Movie,G,2009,78,7.3,Documentary,Disney plus
tt3660770,Monkey Kingdom,Movie,G,2015,81,7.3,Documentary,Disney plus
tt8080302,Penguins,Movie,G,2019,76,6.9,Documentary,Disney plus
tt1222816,Disneynature: Wings of Life,Movie,G,2013,81,7.4,Documentary,Disney plus
tt12100080,Diving with Dolphins,Movie,N/A,2020,79,7.4,Documentary,Disney plus
tt1710295,Doc McStuffins,TV Show,G,2012,11,6.8,Animation,Disney plus
tt0118998,Doctor Dolittle,Movie,PG-13,1998,85,5.4,Comedy,Disney plus
tt0240462,Dr. Dolittle 2,Movie,PG,2001,87,4.7,Comedy,Disney plus
tt0423642,Dog Whisperer with Cesar Millan,TV Show,TV-G,2004,110,8,Family,Disney plus
tt10055028,Dolphin Reef,Movie,G,2020,77,7.6,Documentary,Disney plus
tt0045696,Don's Fountain of Youth,Movie,N/A,1953,6,7.4,Animation,Disney plus
tt0208101,Don't Look Under the Bed,Movie,TV-PG,1999,100,6.9,Family,Disney plus
tt0032401,Donald's Dog Laundry,Movie,N/A,1940,8,7,Animation,Disney plus
tt0030069,Donald's Golf Game,Movie,N/A,1938,8,6.8,Animation,Disney plus
tt0035820,Donald's Tire Trouble,Movie,N/A,1943,7,7,Family,Disney plus
tt0038489,Double Dribble,Movie,N/A,1946,7,6.9,Animation,Disney plus
tt0281905,Double Teamed,Movie,TV-G,2002,120,6.1,Biography,Disney plus
tt0187819,Doug's 1st Movie,Movie,G,1999,77,5,Animation,Disney plus
tt0046932,Dragon Around,Movie,N/A,1954,7,7.2,Family,Disney plus
tt7823038,Drain Alcatraz,Movie,N/A,2017,45,5.4,Documentary,Disney plus
tt4266692,Drain the Bermuda Triangle,Movie,N/A,2014,44,6,Documentary,Disney plus
tt3738576,Drain the Great Lakes,Movie,TV-G,2011,47,7.5,Documentary,Disney plus
tt6141006,Drain the Ocean: WWII,Movie,TV-PG,2016,44,7.2,History,Disney plus
tt8676618,Drain the Oceans,TV Show,TV-PG,2018,47,7.6,Documentary,Disney plus
tt7964284,Drain the Sunken Pirate City,Movie,TV-14,2017,47,6.2,N/A,Disney plus
tt4743564,Drain the Titanic,Movie,N/A,2015,46,5.7,Documentary,Disney plus
tt5531466,DuckTales,TV Show,TV-Y,2017,21,8.2,Animation,Disney plus
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,Movie,G,1990,74,6.9,Animation,Disney plus
tt1537759,Dug's Special Mission,Movie,TV-PG,2009,5,7,Animation,Disney plus
tt3861390,Dumbo,Movie,PG,2019,112,6.3,Adventure,Disney plus
tt1455430,Easter Island Underworld,TV Show,N/A,2009,120,7.4,Documentary,Disney plus
tt0365149,Eddie's Million Dollar Cook-Off,Movie,TV-G,2003,110,6,Comedy,Disney plus
tt0397313,Eight Below,Movie,PG,2006,120,7.3,Adventure,Disney plus
tt4549142,Elena of Avalor,TV Show,TV-Y,2016,24,6.4,Animation,Disney plus
tt0027569,Elmer Elephant,Movie,N/A,1936,9,7,Family,Disney plus
tt0058056,Emil and the Detectives,Movie,PG,1964,99,6.2,Comedy,Disney plus
tt0416716,Empire of Dreams: The Story of the 'Star Wars' Trilogy,Movie,N/A,2004,151,8.3,Documentary,Disney plus
tt0072951,Escape to Witch Mountain,Movie,G,1975,97,6.4,Adventure,Disney plus
tt0206511,Even Stevens,TV Show,TV-G,2000,30,7.6,Comedy,Disney plus
tt6279452,Expedition Mars,Movie,N/A,2016,88,8.1,Documentary,Disney plus
tt6974848,Disney's Fairy Tale Weddings,TV Show,N/A,2017,63,7.2,Reality-TV,Disney plus
tt0032455,Fantasia,Movie,G,1941,125,7.8,Animation,Disney plus
tt0120910,Fantasia 2000,Movie,G,2000,75,7.2,Animation,Disney plus
tt0187635,Fantastic Four: The Animated Series,TV Show,N/A,1994,22,6.4,Animation,Disney plus
tt0830298,Fantastic Four: World's Greatest Heroes,TV Show,N/A,2006,30,6.8,Animation,Disney plus
tt0030128,Ferdinand the Bull,Movie,N/A,1938,8,7.2,Animation,Disney plus
tt2277860,Finding Dory,Movie,PG,2016,97,7.3,Animation,Disney plus
tt0266543,Finding Nemo,Movie,G,2003,100,8.1,Animation,Disney plus
tt0116311,First Kid,Movie,PG,1996,101,5.2,Family,Disney plus
tt1725902,Fish Hooks,TV Show,TV-G,2010,22,4.6,Animation,Disney plus
tt0091059,Flight of the Navigator,Movie,PG,1986,90,6.9,Adventure,Disney plus
tt9536846,Float,Movie,PG,2019,7,7.4,Animation,Disney plus
tt0022899,Flowers and Trees,Movie,N/A,1932,8,7.5,Animation,Disney plus
tt0119137,Flubber,Movie,PG,1997,93,5.3,Comedy,Disney plus
tt0248808,For the Birds,Movie,G,2001,3,8,Animation,Disney plus
tt11194650,What is Cheese?,TV Show,N/A,2020,3,7.8,Animation,Disney plus
tt11194652,What is Reading?,TV Show,N/A,2020,3,8.1,Animation,Disney plus
tt0113104,Frank and Ollie,Movie,PG,1995,89,7.8,Documentary,Disney plus
tt1142977,Frankenweenie,Movie,PG,2012,87,6.9,Animation,Disney plus
tt0087291,Frankenweenie,Movie,PG,1984,29,7.3,Short,Disney plus
tt0076054,Freaky Friday,Movie,G,1977,95,6.3,Comedy,Disney plus
tt0322330,Freaky Friday,Movie,PG,2003,97,6.1,Comedy,Disney plus
tt7631348,Freaky Friday,Movie,TV-G,2018,90,3.7,Comedy,Disney plus
tt7775622,Free Solo,Movie,PG-13,2018,100,8.2,Documentary,Disney plus
tt1865368,Frenemies,Movie,TV-G,2012,87,5,Comedy,Disney plus
tt2294629,Frozen,Movie,PG,2013,102,7.5,Animation,Disney plus
tt4520988,Frozen II,Movie,PG,2019,103,7,Animation,Disney plus
tt0382142,Full-Court Miracle,Movie,TV-G,2003,90,5.7,Drama,Disney plus
tt0039404,Fun and Fancy Free,Movie,N/A,1948,73,6.6,Animation,Disney plus
tt0286639,Fuzzbucket,Movie,N/A,1986,46,7.6,Adventure,Disney plus
tt0436339,G-Force,Movie,PG,2009,88,5.1,Action,Disney plus
tt0108783,Gargoyles,TV Show,TV-PG,1994,30,8.1,Animation,Disney plus
tt1835977,Geek Charming,Movie,TV-G,2011,94,6.4,Comedy,Disney plus
tt0193187,Genius,Movie,TV-G,1999,82,6.3,Comedy,Disney plus
tt0119190,George of the Jungle,Movie,PG,1997,92,5.4,Action,Disney plus
tt0322389,George of the Jungle 2,Movie,PG,2003,87,3.3,Adventure,Disney plus
tt0131409,Geri's Game,Movie,N/A,1997,4,7.9,Animation,Disney plus
tt0282521,Get a Clue,Movie,TV-G,2002,83,5.1,Comedy,Disney plus
tt2543796,Girl Meets World,TV Show,TV-G,2014,23,7.2,Comedy,Disney plus
tt0385726,Glory Road,Movie,PG,2006,118,7.2,Biography,Disney plus
tt0447987,Go Figure,Movie,TV-G,2005,88,5.7,Comedy,Disney plus
tt0399104,Going to the Mat,Movie,G,2004,120,6.8,Drama,Disney plus
tt1415889,Good Luck Charlie,TV Show,TV-G,2010,22,7,Comedy,Disney plus
tt1828976,"Good Luck Charlie, It's Christmas!",Movie,TV-G,2011,90,6.4,Comedy,Disney plus
tt0103428,Goof Troop,TV Show,TV-Y,1992,30,6.8,Animation,Disney plus
tt9165706,Gordon Ramsay: Uncharted,TV Show,N/A,2019,60,7.9,Adventure,Disney plus
tt0299943,Gotta Kick It Up!,Movie,TV-G,2002,78,5.8,Comedy,Disney plus
tt0025200,The Grasshopper and the Ants,Movie,N/A,1934,8,7.3,Family,Disney plus
tt1769803,Great Migrations,TV Show,TV-PG,2010,45,8.1,Documentary,Disney plus
tt0054944,Greyfriars Bobby: The True Story of a Dog,Movie,N/A,1961,87,7.3,Drama,Disney plus
tt0074599,Gus,Movie,G,1976,96,5.9,Comedy,Disney plus
tt0067172,Hacksaw,Movie,TV-PG,1971,89,6.2,Family,Disney plus
tt0173886,Halloweentown,Movie,TV-G,1998,84,6.8,Adventure,Disney plus
tt0414078,Halloweentown High,Movie,TV-G,2004,82,6.2,Comedy,Disney plus
tt0274761,Halloweentown II: Kalabar's Revenge,Movie,TV-PG,2001,81,6.5,Adventure,Disney plus
tt0451460,Handy Manny,TV Show,TV-Y,2006,24,5.6,Animation,Disney plus
tt0493093,Hannah Montana,TV Show,TV-G,2006,23,5,Comedy,Disney plus
tt1127884,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Movie,G,2008,74,2.3,Documentary,Disney plus
tt1114677,Hannah Montana: The Movie,Movie,G,2009,102,4.4,Comedy,Disney plus
tt1222818,Hatching Pete,Movie,TV-G,2009,90,5.4,Comedy,Disney plus
tt0028981,Hawaiian Holiday,Movie,N/A,1937,8,7.2,Animation,Disney plus
tt0110006,Heavyweights,Movie,PG,1995,100,6.6,Comedy,Disney plus
tt2746314,Henry Hugglemonster,TV Show,TV-Y,2013,22,5.1,Animation,Disney plus
tt0080861,Herbie Goes Bananas,Movie,G,1980,100,5,Adventure,Disney plus
tt0076137,Herbie Goes to Monte Carlo,Movie,G,1977,105,5.7,Action,Disney plus
tt0071607,Herbie Rides Again,Movie,G,1974,88,5.7,Comedy,Disney plus
tt0400497,Herbie Fully Loaded,Movie,G,2005,101,4.8,Adventure,Disney plus
tt0119282,Hercules,Movie,G,1997,93,7.3,Animation,Disney plus
tt0475293,High School Musical,Movie,TV-G,2006,98,5.4,Comedy,Disney plus
tt0810900,High School Musical 2,Movie,TV-G,2007,104,5,Comedy,Disney plus
tt0962726,High School Musical 3,Movie,G,2008,112,4.8,Comedy,Disney plus
tt8510382,High School Musical: The Musical - The Series,TV Show,TV-PG,2019,31,7.3,Comedy,Disney plus
tt11448424,High School Musical: The Musical: The Series: The Special,Movie,TV-G,2019,23,7.8,Documentary,Disney plus
tt0107120,Hocus Pocus,Movie,PG,1993,96,6.9,Comedy,Disney plus
tt0311289,Holes,Movie,PG,2003,117,7,Adventure,Disney plus
tt0119303,Home Alone 3,Movie,PG,1997,102,4.5,Comedy,Disney plus
tt0299172,Home on the Range,Movie,PG,2004,76,5.3,Animation,Disney plus
tt0116552,Homeward Bound II: Lost in San Francisco,Movie,G,1996,88,5.9,Adventure,Disney plus
tt0107131,Homeward Bound: The Incredible Journey,Movie,G,1993,84,6.9,Adventure,Disney plus
tt0104437,"Honey, I Blew Up the Kid",Movie,PG,1992,89,4.8,Adventure,Disney plus
tt0097523,"Honey, I Shrunk the Kids",Movie,PG,1989,93,6.3,Adventure,Disney plus
tt0119310,"Honey, We Shrunk Ourselves!",Movie,PG,1997,74,5,Action,Disney plus
tt0219813,Horse Sense,Movie,TV-G,1999,92,6.2,Drama,Disney plus
tt8390274,Hostile Planet,TV Show,N/A,2019,47,8.2,Documentary,Disney plus
tt0274557,Hounded,Movie,TV-G,2001,91,5.1,Comedy,Disney plus
tt3098874,How to Build a Better Boy,Movie,TV-G,2014,90,5.5,Comedy,Disney plus
tt0034873,How to Fish,Movie,N/A,1942,7,7,Comedy,Disney plus
tt0034874,How to Play Baseball,Movie,N/A,1942,8,7.3,Animation,Disney plus
tt0036933,How to Play Football,Movie,N/A,1944,7,7.2,Animation,Disney plus
tt0034875,How to Swim,Movie,N/A,1942,8,7.1,Animation,Disney plus
tt2455514,Hulk and the Agents of S.M.A.S.H.,TV Show,TV-Y7,2013,23,6.1,Animation,Disney plus
tt0155753,I'll Be Home for Christmas,Movie,PG,1998,86,5.5,Comedy,Disney plus
tt0268380,Ice Age,Movie,PG,2002,81,7.5,Animation,Disney plus
tt5480340,Ice Age: The Great Egg-Scapade,Movie,TV-PG,2016,25,5.9,Animation,Disney plus
tt0396652,Ice Princess,Movie,G,2005,98,6,Comedy,Disney plus
tt1101237,Imagination Movers,TV Show,N/A,2008,30,7,Family,Disney plus
tt12100044,In the Footsteps of Elephant,Movie,G,2020,85,8.1,Documentary,Disney plus
tt4664808,Incredible! The Story of Dr. Pol,TV Show,N/A,2015,44,8.9,Documentary,Disney plus
tt2096673,Inside Out,Movie,PG,2015,95,8.2,Animation,Disney plus
tt0141369,Inspector Gadget,Movie,PG,1999,78,4.1,Action,Disney plus
tt0301454,Inspector Gadget 2,Movie,G,2003,89,3.4,Action,Disney plus
tt9822474,Into the Canyon,Movie,N/A,2019,84,7.7,Documentary,Disney plus
tt7573844,Into the Okavango,Movie,N/A,2018,88,7.6,Documentary,Disney plus
tt0445990,Invincible,Movie,PG,2006,105,7.1,Biography,Disney plus
tt4420110,Invisible Sister,Movie,TV-G,2015,80,6.1,Adventure,Disney plus
tt0115218,Iron Man,TV Show,TV-Y7,1994,30,6.7,Animation,Disney plus
tt0837143,Iron Man: Armored Adventures,TV Show,TV-Y7,2008,22,6.5,Animation,Disney plus
tt0110157,Iron Will,Movie,PG,1994,108,6.6,Adventure,Disney plus
tt0116669,Jack,Movie,PG-13,1996,113,5.8,Comedy,Disney plus
tt0455565,Jack-Jack Attack,Movie,N/A,2008,5,7.6,Animation,Disney plus
tt0116683,James and the Giant Peach,Movie,PG,1996,79,6.7,Animation,Disney plus
tt7207238,Jane,Movie,PG,2017,90,7.8,Documentary,Disney plus
tt1865769,Jessie,TV Show,TV-G,2011,30,5.9,Comedy,Disney plus
tt0401729,John Carter,Movie,PG-13,2012,132,6.6,Action,Disney plus
tt0942378,Johnny Kapahala: Back on Board,Movie,N/A,2007,90,5.5,Comedy,Disney plus
tt0206064,Johnny Tsunami,Movie,TV-G,1999,88,6.3,Drama,Disney plus
tt1229827,Jonas Brothers: The 3D Concert Experience,Movie,G,2009,76,1.5,Documentary,Disney plus
tt0052948,Journey to the Center of the Earth,Movie,N/A,1959,129,7,Adventure,Disney plus
tt0805559,Jump In!,Movie,TV-G,2007,85,5.3,Comedy,Disney plus
tt0271172,Jumping Ship,Movie,TV-G,2001,93,6.2,Family,Disney plus
tt0119432,Jungle 2 Jungle,Movie,PG,1997,105,5.2,Comedy,Disney plus
tt0053977,Jungle Cat,Movie,N/A,1960,69,7.4,Documentary,Disney plus
tt0068789,Justin Morgan Had a Horse,Movie,TV-G,1972,91,6.5,Family,Disney plus
tt0116756,Kazaam,Movie,PG,1996,93,3,Comedy,Disney plus
tt1765622,Kickin' It,TV Show,TV-Y7,2011,22,6.3,Action,Disney plus
tt7979492,Kim Possible,Movie,TV-G,2019,86,3.6,Action,Disney plus
tt0446724,Kim Possible: So the Drama,Movie,TV-G,2005,71,7.1,Animation,Disney plus
tt9536832,Kitbull,Movie,PG,2019,9,8,Animation,Disney plus
tt0401398,Kronk's New Groove,Movie,G,2005,75,5.8,Animation,Disney plus
tt1957945,La Luna,Movie,G,2012,7,8,Animation,Disney plus
tt1991564,Lab Rats,TV Show,TV-Y7,2012,22,6.6,Action,Disney plus
tt8096832,Lady and the Tramp,Movie,PG,2019,103,6.3,Adventure,Disney plus
tt0048280,Lady and the Tramp,Movie,G,1955,76,7.3,Animation,Disney plus
tt0249677,Lady and the Tramp 2: Scamp's Adventure,Movie,G,2001,69,5.9,Animation,Disney plus
tt0044821,Lambert the Sheepish Lion,Movie,N/A,1952,8,7.7,Animation,Disney plus
tt10167262,Lamp Life,Movie,N/A,2020,7,6.7,Animation,Disney plus
tt9297164,Lego Star Wars: All-Stars,TV Show,TV-Y7,2018,22,6.5,Animation,Disney plus
tt4855868,Lego Star Wars: Droid Tales,TV Show,N/A,2015,23,7.5,Animation,Disney plus
tt8352934,LEGO Star Wars: The Resistance Rises,TV Show,N/A,2016,24,5.6,Animation,Disney plus
tt5459566,Lego Star Wars: The Freemaker Adventures,TV Show,TV-Y7,2016,23,7.5,Animation,Disney plus
tt4283838,The New Yoda Chronicles: Clash of the Skywalkers,Movie,N/A,2014,22,7.4,Animation,Disney plus
tt3978590,The New Yoda Chronicles: Raid on Coruscant,Movie,N/A,2014,22,7.5,Animation,Disney plus
tt3688956,The New Yoda Chronicles: Escape from the Jedi Temple,Movie,N/A,2014,22,7.5,Animation,Disney plus
tt1648204,Lemonade Mouth,Movie,TV-PG,2011,103,6.9,Comedy,Disney plus
tt0033824,Lend a Paw,Movie,N/A,1941,8,7.1,Animation,Disney plus
tt0486761,Leroy & Stitch,Movie,G,2006,73,6.2,Animation,Disney plus
tt2165933,Let It Shine,Movie,TV-G,2012,104,6.4,Drama,Disney plus
tt0044835,Let's Stick Together,Movie,N/A,1952,7,7,Family,Disney plus
